2024-07-14 15:02:45,708 - inference - INFO - training started...
2024-07-14 15:13:56,674 - inference - INFO - training started...
2024-07-14 15:29:04,834 - inference - INFO - RIO.L: exp profit=0.07492300676230211, MSE=0.03282830138673167
2024-07-14 15:29:13,099 - inference - INFO - RR.L: exp profit=0.03805306337204573, MSE=0.24281548867540712
2024-07-14 15:29:20,340 - inference - INFO - RS1.L: exp profit=0.047947241060285556, MSE=0.04551028643758641
2024-07-14 15:29:28,245 - inference - INFO - SGE.L: exp profit=0.09033039407581286, MSE=0.02569658713931556
2024-07-14 15:29:43,075 - inference - INFO - SBRY.L: exp profit=0.022192347844227238, MSE=0.04515668337408131
2024-07-14 15:29:53,273 - inference - INFO - SDR.L: exp profit=0.12207112305107984, MSE=0.057419807671730355
2024-07-14 15:30:02,879 - inference - ERROR - Error in predicting SMT.L: Input X contains NaN.
SelectKBest does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor which accept missing values encoded as NaNs natively. Alternatively, it is possible to preprocess the data, for instance by using an imputer transformer in a pipeline or drop samples with missing values. See https://scikit-learn.org/stable/modules/impute.html You can find a list of all estimators that handle NaN values at the following page: https://scikit-learn.org/stable/modules/impute.html#estimators-that-handle-nan-values
2024-07-14 15:30:12,558 - inference - INFO - SGRO.L: exp profit=0.0416621434770115, MSE=0.05141876473279591
2024-07-14 15:30:19,846 - inference - INFO - SVT.L: exp profit=0.056433997836345715, MSE=0.018215817452213352
2024-07-14 15:30:25,491 - inference - INFO - SHEL.L: exp profit=0.001363796642047973, MSE=0.06437333700868297
2024-07-14 15:30:34,561 - inference - INFO - SMDS.L: exp profit=0.025046794207387733, MSE=0.054436983925917205
2024-07-14 15:30:44,032 - inference - INFO - SMIN.L: exp profit=0.0505711534830121, MSE=0.021521892015935823
2024-07-14 15:30:51,475 - inference - INFO - SN.L: exp profit=0.059005001017071124, MSE=0.03765290368608798
2024-07-14 15:30:56,481 - inference - INFO - SKG.L: exp profit=0.009649274506726112, MSE=0.04725718585619488
2024-07-14 15:31:06,393 - inference - INFO - SPX.L: exp profit=0.07928880334515184, MSE=0.04681295111980898
2024-07-14 15:31:14,851 - inference - INFO - SSE.L: exp profit=0.05767378927777897, MSE=0.02092982066483427
2024-07-14 15:31:23,943 - inference - INFO - STAN.L: exp profit=0.10063396853979989, MSE=0.045537840580361276
2024-07-14 15:31:32,701 - inference - INFO - STJ.L: exp profit=0.03453830397756388, MSE=0.09257751496303779
2024-07-14 15:31:41,989 - inference - INFO - TW.L: exp profit=0.0043917074046475706, MSE=0.07961404491734897
2024-07-14 15:31:52,972 - inference - INFO - TSCO.L: exp profit=0.03291958821947344, MSE=0.019297759993249168
2024-07-14 15:32:01,192 - inference - INFO - ULVR.L: exp profit=0.0551587863638129, MSE=0.01309065116521221
2024-07-14 15:32:08,627 - inference - INFO - UU.L: exp profit=0.04288494143485108, MSE=0.0159033740041277
2024-07-14 15:32:14,236 - inference - INFO - UTG.L: exp profit=0.03656617472782423, MSE=0.038057152799043585
2024-07-14 15:32:24,137 - inference - INFO - VOD.L: exp profit=0.05720392158360914, MSE=0.03639230228175286
2024-07-14 15:32:33,029 - inference - INFO - WEIR.L: exp profit=0.07493757430387116, MSE=0.06751280968037482
2024-07-14 15:32:43,797 - inference - INFO - WTB.L: exp profit=0.05022692506706701, MSE=0.06592617996458468
